,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4061,Henry,Monster - English Version,2892MswwqljFCzto12m7LE,60,0.406,0.386,9,-7.707,1,0.0303,0.83,0.0,0.146,0.374,86.799,203631,4
4062,Thomas Rhett,When We’re 80,2aslQ7Sf7MdDbRPbac0Cy4,52,0.725,0.687,1,-4.806,0,0.0247,0.0371,5.27e-06,0.101,0.655,95.007,176987,4
4063,5 Seconds of Summer,More,66vUuzBvVOfMjWnsABs0jm,58,0.577,0.863,7,-3.613,1,0.0374,0.000979,0.0,0.0989,0.182,92.039,194128,4
4064,Waterparks,Lucky People,7EJw4qOq9wtJw0FoU3GeBq,53,0.659,0.651,8,-5.577,1,0.029,0.595,0.0,0.122,0.372,110.989,175198,4
4065,James Bay,Pink Lemonade,5nSDY75s6O6jA0K7J1EMYQ,59,0.475,0.922,1,-2.548,0,0.0469,9.39e-05,0.0203,0.748,0.701,152.011,252907,4
4066,Lil Yachty,BABY DADDY,3ALgsy4RtDm58xl3VNoSgZ,55,0.972,0.482,8,-6.128,1,0.0703,0.00872,0.0,0.149,0.0767,125.014,185883,4
4067,RM,uhgood,7hjWFO88DN3FroDMRIcehn,58,0.536,0.559,0,-6.826,1,0.0501,0.00135,0.016,0.132,0.0964,85.971,194384,4
4068,Amber Run,Amen,4rCmaUBsSjuiQcKoKIo7UE,56,0.499,0.187,5,-11.442,1,0.029,0.72,1.23e-05,0.0822,0.0522,85.356,185422,3
4069,Comethazine,V12,6umpNjuFvLRMievwEzmKih,53,0.805,0.661,8,-3.832,1,0.0889,0.0134,0.0,0.114,0.363,139.906,109777,3
4070,Gordon,When the Time Comes,0jVAASD83TspRi2gG53o6R,55,0.717,0.208,6,-17.462,0,0.1,0.931,0.000901,0.228,0.325,81.042,124486,4
4071,Anderson .Paak,6 Summers,0lG7iyNSstVOLV6faMIHdD,56,0.649,0.587,5,-10.5,0,0.316,0.0774,0.0,0.377,0.513,92.871,282987,4
4072,Morat,Cuando Nadie Ve,71iAechwVKGu26pahzFL0k,73,0.806,0.778,1,-4.577,0,0.0616,0.133,0.0,0.218,0.84,95.993,219587,4
4073,Kelela,LMK_WHAT’S REALLY GOOD REMIX_ FEAT_PRINCESS NOKIA_JUNGLEPUSSY_CUPCAKKE_MS. BOOGIE_100 BPM,1q5h9UkGVYVoec4ydU9P0d,55,0.727,0.623,11,-6.028,1,0.0512,0.0374,0.0,0.0896,0.224,99.982,320833,4
4074,Lil Toe,Pipe Down,1xw3s0E9MNtRftzYFQrdqt,55,0.747,0.388,8,-8.307,1,0.384,0.0773,0.314,0.126,0.223,164.861,129033,4
4075,Mumford & Sons,Rose Of Sharon,0SwB9nk7EfDUnIGbz7Go9G,52,0.67,0.567,2,-9.732,1,0.0357,0.328,0.015,0.0873,0.434,139.995,203701,4
